decision_date,planned_exec_date,symbol,reason,event,exit_layer
2021-06-18,2021-06-21,603501,trailing_stop: close=273.15 <= stop=277.49,exit_signal,STOP_TRAIL
2021-07-01,2021-07-02,600482,trailing_stop: close=16.95 <= stop=17.08,exit_signal,STOP_TRAIL
2021-07-02,2021-07-05,688981,trailing_stop: close=58.13 <= stop=58.41,exit_signal,STOP_TRAIL
2021-07-06,2021-07-07,000999,trailing_stop: close=26.06 <= stop=26.56,exit_signal,STOP_TRAIL
2021-07-13,2021-07-14,600584,trailing_stop: close=38.56 <= stop=38.79,exit_signal,STOP_TRAIL
2021-11-02,2021-11-03,600741,trailing_stop: close=25.85 <= stop=25.90,exit_signal,STOP_TRAIL
2021-12-29,2021-12-30,600436,trailing_stop: close=428.54 <= stop=452.72,exit_signal,STOP_TRAIL
2022-01-05,2022-01-06,300408,trailing_stop: close=42.92 <= stop=43.20,exit_signal,STOP_TRAIL
2022-01-05,2022-01-06,300124,trailing_stop: close=66.55 <= stop=67.70,exit_signal,STOP_TRAIL
2022-01-13,2022-01-14,600690,trailing_stop: close=28.66 <= stop=28.78,exit_signal,STOP_TRAIL
2022-01-13,2022-01-14,002311,trailing_stop: close=70.00 <= stop=70.86,exit_signal,STOP_TRAIL
2022-02-09,2022-02-10,001965,take_profit: close=8.97 >= target=8.86,exit_signal,TAKE_PROFIT
2022-07-06,2022-07-07,600176,trailing_stop: close=16.28 <= stop=16.60,exit_signal,STOP_TRAIL
2022-07-21,2022-07-22,600025,trailing_stop: close=6.93 <= stop=6.99,exit_signal,STOP_TRAIL
2022-07-25,2022-07-26,002625,trailing_stop: close=17.12 <= stop=17.12,exit_signal,STOP_TRAIL
2022-08-09,2022-08-10,002422,take_profit: close=22.70 >= target=22.62,exit_signal,TAKE_PROFIT
2022-08-10,2022-08-11,300896,trailing_stop: close=569.10 <= stop=574.91,exit_signal,STOP_TRAIL
2022-08-18,2022-08-19,000425,trailing_stop: close=5.39 <= stop=5.41,exit_signal,STOP_TRAIL
2022-12-09,2022-12-12,000807,take_profit: close=12.30 >= target=12.22,exit_signal,TAKE_PROFIT
2022-12-19,2022-12-20,601607,trailing_stop: close=18.76 <= stop=18.89,exit_signal,STOP_TRAIL
2022-12-20,2022-12-21,600031,trailing_stop: close=15.80 <= stop=15.90,exit_signal,STOP_TRAIL
2022-12-26,2022-12-27,601138,trailing_stop: close=9.16 <= stop=9.17,exit_signal,STOP_TRAIL
2023-01-05,2023-01-06,000938,overbought: RSI=87.1 >= 80.0,exit_signal,OVERBOUGHT
2023-01-30,2023-01-31,000858,take_profit: close=217.60 >= target=215.80,exit_signal,TAKE_PROFIT
2023-02-08,2023-02-09,600377,trailing_stop: close=8.20 <= stop=8.21,exit_signal,STOP_TRAIL
2023-02-16,2023-02-17,002714,trailing_stop: close=48.07 <= stop=48.13,exit_signal,STOP_TRAIL
2023-02-17,2023-02-20,000063,trailing_stop: close=27.97 <= stop=28.16,exit_signal,STOP_TRAIL
2023-03-07,2023-03-08,601857,take_profit: close=5.64 >= target=5.62,exit_signal,TAKE_PROFIT
2023-04-20,2023-04-21,688009,take_profit: close=6.43 >= target=6.40,exit_signal,TAKE_PROFIT
2023-05-24,2023-05-25,601225,trailing_stop: close=19.29 <= stop=19.66,exit_signal,STOP_TRAIL
2023-08-11,2023-08-14,600690,trailing_stop: close=23.60 <= stop=23.66,exit_signal,STOP_TRAIL
2024-03-12,2024-03-13,601298,trailing_stop: close=6.90 <= stop=6.92,exit_signal,STOP_TRAIL
2024-04-15,2024-04-16,600989,take_profit: close=17.17 >= target=17.17,exit_signal,TAKE_PROFIT
2024-04-29,2024-04-30,603195,overbought: RSI=81.1 >= 80.0,exit_signal,OVERBOUGHT
2024-05-24,2024-05-27,600809,trailing_stop: close=252.14 <= stop=256.56,exit_signal,STOP_TRAIL
2024-07-01,2024-07-02,600938,take_profit: close=34.04 >= target=33.72,exit_signal,TAKE_PROFIT
2024-09-30,2024-10-08,600415,overbought: RSI=83.9 >= 80.0,exit_signal,OVERBOUGHT
2024-11-15,2024-11-18,000425,trailing_stop: close=7.72 <= stop=7.77,exit_signal,STOP_TRAIL
2024-11-25,2024-11-26,601117,trailing_stop: close=8.13 <= stop=8.13,exit_signal,STOP_TRAIL
2025-01-06,2025-01-07,600600,trailing_stop: close=75.60 <= stop=76.66,exit_signal,STOP_TRAIL
2025-03-03,2025-03-04,688008,trailing_stop: close=76.25 <= stop=76.80,exit_signal,STOP_TRAIL
2025-04-07,2025-04-08,000975,trailing_stop: close=17.88 <= stop=18.07,exit_signal,STOP_TRAIL
2025-06-10,2025-06-11,601225,trailing_stop: close=19.93 <= stop=19.96,exit_signal,STOP_TRAIL
2025-07-01,2025-07-02,603993,take_profit: close=8.52 >= target=8.47,exit_signal,TAKE_PROFIT
2025-07-15,2025-07-16,601698,trailing_stop: close=19.50 <= stop=19.61,exit_signal,STOP_TRAIL
2025-07-24,2025-07-25,002466,take_profit: close=40.29 >= target=40.16,exit_signal,TAKE_PROFIT
2025-07-31,2025-08-01,001979,trailing_stop: close=8.70 <= stop=9.01,exit_signal,STOP_TRAIL
2025-09-03,2025-09-04,600161,trailing_stop: close=19.83 <= stop=19.91,exit_signal,STOP_TRAIL
2025-09-22,2025-09-23,300498,trailing_stop: close=18.98 <= stop=18.98,exit_signal,STOP_TRAIL
2025-10-20,2025-10-21,600188,take_profit: close=15.49 >= target=15.42,exit_signal,TAKE_PROFIT
2025-11-24,2025-11-25,600938,trailing_stop: close=28.00 <= stop=28.33,exit_signal,STOP_TRAIL
2025-12-11,2025-12-12,000630,trailing_stop: close=5.35 <= stop=5.42,exit_signal,STOP_TRAIL
2026-01-07,2026-01-08,601857,trailing_stop: close=9.90 <= stop=9.97,exit_signal,STOP_TRAIL
2026-02-02,2026-02-03,000786,trailing_stop: close=26.90 <= stop=26.93,exit_signal,STOP_TRAIL
2026-03-03,2026-03-04,600031,trailing_stop: close=22.19 <= stop=22.76,exit_signal,STOP_TRAIL
2026-03-23,2026-03-24,600377,trailing_stop: close=11.88 <= stop=12.08,exit_signal,STOP_TRAIL
