screen_date,factor_rank,symbol,factor_score,signal_entry_price,stop_loss,take_profit,timing_reason,already_held,queued_for_buy
2021-11-05,1,601600,-26.277086185983308,5.49,5.2155,,"oversold-bounce: RSI=26.3, close>5.41",True,False
2022-01-05,1,300014,-28.360286383219204,107.5,102.125,,"oversold-bounce: RSI=28.4, close>106.19",False,True
2022-01-05,2,002371,-29.915216600431705,300.0,285.0,,"oversold-bounce: RSI=29.9, close>296.09",False,True
2022-01-07,1,300316,-29.548948814936693,58.74,55.803,,"oversold-bounce: RSI=29.5, close>57.02",False,True
2022-02-11,1,002920,-29.751504028577685,115.1,109.34499999999998,,"oversold-bounce: RSI=29.8, close>111.44",False,True
2022-03-08,1,002028,-29.91470383331219,39.32,37.354,,"oversold-bounce: RSI=29.9, close>38.66",False,True
2022-03-15,1,600900,-27.572216006892404,21.15,20.092499999999998,,"oversold-bounce: RSI=27.6, close>20.89",False,True
2022-09-02,1,600085,-29.793820382442064,44.29,42.0755,,"oversold-bounce: RSI=29.8, close>44.25",False,True
2022-10-31,1,600188,-26.084654826286794,40.6,38.57,,"oversold-bounce: RSI=26.1, close>37.79",False,True
2022-10-31,2,605117,-29.077131173456905,327.17,310.8115,,"oversold-bounce: RSI=29.1, close>290.59",False,True
2022-11-01,1,600188,-25.34856619377807,40.23,38.21849999999999,,"oversold-bounce: RSI=25.3, close>37.88",True,False
2022-11-01,2,605117,-29.47456734284725,327.99,311.5905,,"oversold-bounce: RSI=29.5, close>290.95",True,False
2023-04-27,1,600584,-29.80392605895382,27.0,25.65,,"oversold-bounce: RSI=29.8, close>26.52",False,True
2023-05-12,1,601899,-28.16826498581058,10.98,10.431,,"oversold-bounce: RSI=28.2, close>10.29",False,True
2023-05-25,1,600050,-28.91933972450377,4.76,4.521999999999999,,"oversold-bounce: RSI=28.9, close>4.55",False,True
2023-08-15,1,603501,-29.50610881821885,92.16,87.55199999999999,,"oversold-bounce: RSI=29.5, close>91.68",False,True
2023-08-24,1,002230,-29.36104498807174,53.3,50.635,,"oversold-bounce: RSI=29.4, close>52.11",False,True
2023-10-18,1,000786,-28.80869531509859,28.15,26.742499999999996,,"oversold-bounce: RSI=28.8, close>27.33",False,True
2024-01-08,1,300782,-26.767809457645328,121.44,115.368,,"oversold-bounce: RSI=26.8, close>120.39",False,True
2024-01-09,1,300782,-27.161155500283286,121.6,115.52,,"oversold-bounce: RSI=27.2, close>120.36",True,False
2024-01-11,1,300782,-28.914921759351373,121.07,115.0165,,"oversold-bounce: RSI=28.9, close>120.31",False,True
2024-01-18,1,600161,-29.882537509850877,28.02,26.619,,"oversold-bounce: RSI=29.9, close>27.12",False,True
2024-03-28,1,300832,-25.32382930945633,67.29,63.9255,,"oversold-bounce: RSI=25.3, close>67.14",False,True
2024-07-02,1,002028,-29.5635419557335,63.65,60.467499999999994,,"oversold-bounce: RSI=29.6, close>56.98",False,True
2024-07-03,1,605499,-27.295308908945174,201.22,191.159,,"oversold-bounce: RSI=27.3, close>191.44",False,True
2024-07-03,2,600690,-28.077746173971377,26.76,25.422,,"oversold-bounce: RSI=28.1, close>24.77",False,True
2024-07-04,1,300979,-27.79858660859908,58.29,55.375499999999995,,"oversold-bounce: RSI=27.8, close>56.97",False,True
2024-07-04,2,600690,-28.028544844412167,26.75,25.412499999999998,,"oversold-bounce: RSI=28.0, close>24.78",True,False
2024-07-04,3,000651,-29.867894578275312,38.02,36.119,,"oversold-bounce: RSI=29.9, close>36.82",False,True
2024-07-05,1,600690,-27.458551753863972,26.64,25.308,,"oversold-bounce: RSI=27.5, close>24.79",True,False
2024-07-05,2,000651,-27.956273946895877,37.7,35.815,,"oversold-bounce: RSI=28.0, close>36.82",True,False
2024-07-08,1,600233,-25.988767342498406,14.24,13.527999999999999,,"oversold-bounce: RSI=26.0, close>14.17",False,True
2024-07-10,1,600690,-26.62018678074189,26.36,25.041999999999998,,"oversold-bounce: RSI=26.6, close>24.82",True,False
2024-07-12,1,600027,-28.61224362939987,6.06,5.757,,"oversold-bounce: RSI=28.6, close>5.99",False,True
2024-07-15,1,688169,-27.486826408283633,342.24,325.128,,"oversold-bounce: RSI=27.5, close>333.78",False,True
2024-07-18,1,688169,-26.755125034247598,334.36,317.642,,"oversold-bounce: RSI=26.8, close>334.34",False,True
2024-07-24,1,600066,-28.847643841568186,21.31,20.2445,,"oversold-bounce: RSI=28.8, close>18.69",False,True
2024-07-25,1,600066,-28.71205227039266,21.28,20.216,,"oversold-bounce: RSI=28.7, close>18.73",True,False
2024-07-25,2,603993,-28.84690805506618,7.02,6.669,,"oversold-bounce: RSI=28.8, close>6.83",False,True
2024-07-25,3,601899,-29.474424882403923,15.43,14.658499999999998,,"oversold-bounce: RSI=29.5, close>14.66",False,True
2024-07-30,1,601857,-26.862450211762663,8.78,8.341,,"oversold-bounce: RSI=26.9, close>8.72",False,True
2024-08-05,1,601138,-27.982288889165858,20.42,19.399,,"oversold-bounce: RSI=28.0, close>20.14",False,True
2024-08-30,1,600489,-28.554078668531403,13.47,12.7965,,"oversold-bounce: RSI=28.6, close>12.68",False,True
2024-09-02,1,600489,-25.645224319376183,13.03,12.378499999999999,,"oversold-bounce: RSI=25.6, close>12.69",True,False
2024-09-03,1,600489,-24.254303296495507,12.8,12.16,,"oversold-bounce: RSI=24.3, close>12.71",True,False
2024-09-11,1,600025,-27.891760014030822,10.4,9.879999999999999,,"oversold-bounce: RSI=27.9, close>9.88",False,True
2024-09-11,2,600900,-28.605441327841106,27.8,26.41,,"oversold-bounce: RSI=28.6, close>26.28",False,True
