screen_date,rank,symbol,score
2024-07-03,1,605499,-27.295308908945174
2024-07-03,2,600690,-28.077746173971377
2024-07-04,1,300979,-27.79858660859908
2024-07-04,2,600690,-28.028544844412167
2024-07-04,3,000651,-29.867894578275312
2024-07-05,1,600690,-27.458551753863972
2024-07-05,2,000651,-27.956273946895877
2024-07-08,1,600233,-25.988767342498406
2024-07-10,1,600690,-26.62018678074189
2024-07-12,1,600027,-28.61224362939987
2024-07-15,1,688169,-27.486826408283633
2024-07-18,1,688169,-26.755125034247598
2024-07-24,1,600066,-28.847643841568186
2024-07-25,1,600066,-28.71205227039266
2024-07-25,2,603993,-28.84690805506618
2024-07-25,3,601899,-29.474424882403923
2024-07-30,1,601857,-26.862450211762663
2024-08-05,1,601138,-27.982288889165858
2024-08-30,1,600489,-28.554078668531403
2024-09-02,1,600489,-25.645224319376183
2024-09-03,1,600489,-24.254303296495507
2024-09-11,1,600025,-27.891760014030822
2024-09-11,2,600900,-28.605441327841106
2024-09-12,1,601298,-29.356107534938843
2024-09-12,2,600900,-29.732106359042305
2024-09-12,3,300476,-29.775940937947013
2024-09-19,1,600025,-28.031903054067357
2024-09-20,1,600025,-27.028167707099456
2025-01-02,1,300015,-28.50342124932996
2025-01-02,2,600196,-29.236914198114903
2025-01-03,1,603260,-28.213842434853447
2025-01-06,1,000963,-28.649229587644584
2025-01-08,1,603288,-29.973407542516014
2025-02-05,1,603288,-28.501254668504956
2025-04-07,1,603019,-23.439718567097373
2025-04-07,2,600570,-23.46648720600659
2025-04-07,3,603986,-25.77559576194966
2025-04-07,4,300033,-26.166066456927922
2025-04-07,5,300251,-29.748898811187644
2025-04-07,6,688256,-29.899612431646574
2025-04-08,1,603986,-25.2933005410369
2025-04-08,2,603259,-27.07239932934776
2025-04-08,3,300033,-29.741487553592307
2025-04-09,1,603259,-26.69699833599401
2025-04-09,2,603986,-28.264634484822096
2025-04-10,1,603259,-29.756470302793204
2025-04-11,1,603259,-29.503872757543874
2025-05-30,1,688256,-29.942193403617367
2025-06-17,1,688256,-28.56680166701709
2025-07-25,1,601728,-29.973813151134763
2025-12-11,1,600660,-29.807464915134503
2026-01-22,1,300750,-29.188818499887688
2026-01-26,1,300750,-27.787568908695405
2026-01-28,1,300750,-27.193816427313365
2026-02-03,1,688256,-26.236390144645497
2026-02-04,1,688256,-22.912252748828536
2026-02-09,1,688256,-29.900907109907408
2026-03-18,1,603799,-29.999862871937907
2026-03-19,1,603799,-25.303638454374024
2026-03-19,2,600362,-28.628584000162647
2026-03-19,3,000408,-28.88410127220544
2026-03-19,4,603993,-29.194927165276212
2026-03-20,1,603799,-27.950537980620794
2026-03-20,2,603993,-28.211558072196397
2026-03-20,3,601899,-28.367238224734507
2026-03-23,1,600362,-23.975141083840356
2026-03-23,2,603993,-25.00652969870366
2026-03-23,3,601899,-25.890319487269295
2026-03-23,4,000408,-27.255153115178018
2026-03-23,5,600489,-27.678258847235057
2026-03-23,6,000630,-27.733823824083586
2026-03-23,7,000157,-28.268492006005275
2026-03-23,8,002050,-28.93602288994451
2026-03-24,1,002050,-27.956768050214777
