decision_date,planned_exec_date,symbol,reason,event,exit_layer
2020-02-21,2020-02-24,MSFT,trailing_stop: close=178.59 <= stop=181.79,exit_signal,STOP_TRAIL
2020-02-24,2020-02-25,GOOG,trailing_stop: close=1421.59 <= stop=1478.50,exit_signal,STOP_TRAIL
2020-02-24,2020-02-25,GOOGL,trailing_stop: close=1419.86 <= stop=1476.64,exit_signal,STOP_TRAIL
2020-02-24,2020-02-25,MNST,trailing_stop: close=68.19 <= stop=68.50,exit_signal,STOP_TRAIL
2020-02-24,2020-02-25,MU,trailing_stop: close=55.01 <= stop=55.90,exit_signal,STOP_TRAIL
2020-02-24,2020-02-25,PAYX,trailing_stop: close=87.21 <= stop=87.91,exit_signal,STOP_TRAIL
2020-02-25,2020-02-26,VRTX,trailing_stop: close=230.00 <= stop=236.01,exit_signal,STOP_TRAIL
2020-02-25,2020-02-26,NFLX,trailing_stop: close=360.09 <= stop=368.35,exit_signal,STOP_TRAIL
2020-02-25,2020-02-26,CHTR,trailing_stop: close=517.99 <= stop=524.86,exit_signal,STOP_TRAIL
2020-02-25,2020-02-26,VRSK,trailing_stop: close=162.82 <= stop=167.21,exit_signal,STOP_TRAIL
2020-06-11,2020-06-12,KHC,trailing_stop: close=31.18 <= stop=32.16,exit_signal,STOP_TRAIL
2020-06-11,2020-06-12,VRSK,trailing_stop: close=162.69 <= stop=162.94,exit_signal,STOP_TRAIL
2020-06-11,2020-06-12,IDXX,trailing_stop: close=298.81 <= stop=301.76,exit_signal,STOP_TRAIL
2020-06-11,2020-06-12,CHTR,trailing_stop: close=517.17 <= stop=520.13,exit_signal,STOP_TRAIL
2020-07-08,2020-07-09,ADBE,take_profit: close=457.68 >= target=455.11,exit_signal,TAKE_PROFIT
2020-07-13,2020-07-14,CSGP,trailing_stop: close=684.10 <= stop=687.39,exit_signal,STOP_TRAIL
2020-08-06,2020-08-07,MU,trailing_stop: close=48.70 <= stop=49.09,exit_signal,STOP_TRAIL
2020-08-07,2020-08-10,ILMN,trailing_stop: close=355.66 <= stop=378.94,exit_signal,STOP_TRAIL
2020-08-11,2020-08-12,EA,trailing_stop: close=135.70 <= stop=140.06,exit_signal,STOP_TRAIL
2020-08-11,2020-08-12,PCAR,take_profit: close=90.39 >= target=90.14,exit_signal,TAKE_PROFIT
2020-08-11,2020-08-12,ORLY,trailing_stop: close=454.02 <= stop=457.21,exit_signal,STOP_TRAIL
2020-08-14,2020-08-17,CSCO,trailing_stop: close=42.50 <= stop=46.16,exit_signal,STOP_TRAIL
2020-08-21,2020-08-24,AMAT,trailing_stop: close=62.27 <= stop=63.56,exit_signal,STOP_TRAIL
2020-08-25,2020-08-26,MNST,take_profit: close=83.97 >= target=83.81,exit_signal,TAKE_PROFIT
2020-09-02,2020-09-03,TMUS,take_profit: close=118.88 >= target=118.86,exit_signal,TAKE_PROFIT
2020-09-03,2020-09-04,WDAY,trailing_stop: close=223.00 <= stop=226.85,exit_signal,STOP_TRAIL
2020-09-03,2020-09-04,ANSS,trailing_stop: close=332.14 <= stop=335.14,exit_signal,STOP_TRAIL
2020-09-03,2020-09-04,AVGO,trailing_stop: close=352.09 <= stop=359.20,exit_signal,STOP_TRAIL
2020-09-04,2020-09-08,PEP,trailing_stop: close=138.76 <= stop=138.84,exit_signal,STOP_TRAIL
2020-09-04,2020-09-08,MCHP,trailing_stop: close=108.15 <= stop=108.47,exit_signal,STOP_TRAIL
2020-09-04,2020-09-08,FAST,trailing_stop: close=46.27 <= stop=48.05,exit_signal,STOP_TRAIL
2020-09-08,2020-09-09,ISRG,trailing_stop: close=694.17 <= stop=732.68,exit_signal,STOP_TRAIL
2020-09-08,2020-09-09,ADI,trailing_stop: close=112.93 <= stop=116.99,exit_signal,STOP_TRAIL
2020-09-21,2020-09-22,ON,trailing_stop: close=20.61 <= stop=21.14,exit_signal,STOP_TRAIL
2020-09-23,2020-09-24,CSX,trailing_stop: close=76.50 <= stop=76.67,exit_signal,STOP_TRAIL
2020-09-23,2020-09-24,ALGN,trailing_stop: close=308.32 <= stop=310.77,exit_signal,STOP_TRAIL
2020-10-28,2020-10-29,PCAR,trailing_stop: close=84.89 <= stop=88.37,exit_signal,STOP_TRAIL
2020-10-28,2020-10-29,CSX,trailing_stop: close=75.93 <= stop=77.42,exit_signal,STOP_TRAIL
2020-11-10,2020-11-11,SNPS,trailing_stop: close=219.33 <= stop=228.25,exit_signal,STOP_TRAIL
2020-11-19,2020-11-20,CDW,trailing_stop: close=132.78 <= stop=135.23,exit_signal,STOP_TRAIL
2020-11-24,2020-11-25,VRSK,trailing_stop: close=194.48 <= stop=195.99,exit_signal,STOP_TRAIL
2020-12-03,2020-12-04,COST,trailing_stop: close=374.05 <= stop=378.61,exit_signal,STOP_TRAIL
2020-12-10,2020-12-11,ODFL,trailing_stop: close=198.70 <= stop=200.05,exit_signal,STOP_TRAIL
2020-12-15,2020-12-16,ADP,take_profit: close=175.75 >= target=173.95,exit_signal,TAKE_PROFIT
2020-12-29,2020-12-30,PAYX,trailing_stop: close=93.14 <= stop=93.47,exit_signal,STOP_TRAIL
2021-01-04,2021-01-05,FAST,trailing_stop: close=47.65 <= stop=48.06,exit_signal,STOP_TRAIL
2021-01-04,2021-01-05,ADP,trailing_stop: close=168.96 <= stop=173.10,exit_signal,STOP_TRAIL
2021-01-19,2021-01-20,IDXX,trailing_stop: close=484.93 <= stop=486.71,exit_signal,STOP_TRAIL
2021-01-19,2021-01-20,ROST,trailing_stop: close=113.98 <= stop=116.92,exit_signal,STOP_TRAIL
2021-01-22,2021-01-25,ALGN,trailing_stop: close=534.08 <= stop=537.79,exit_signal,STOP_TRAIL
2021-01-26,2021-01-27,EXPE,trailing_stop: close=131.50 <= stop=134.81,exit_signal,STOP_TRAIL
2021-01-26,2021-01-27,MU,trailing_stop: close=79.51 <= stop=79.77,exit_signal,STOP_TRAIL
2021-01-27,2021-01-28,CTSH,trailing_stop: close=76.15 <= stop=78.86,exit_signal,STOP_TRAIL
2021-01-27,2021-01-28,ASML,trailing_stop: close=524.63 <= stop=542.59,exit_signal,STOP_TRAIL
2021-01-27,2021-01-28,AMAT,trailing_stop: close=98.58 <= stop=102.28,exit_signal,STOP_TRAIL
2021-01-27,2021-01-28,TXN,trailing_stop: close=162.93 <= stop=168.56,exit_signal,STOP_TRAIL
2021-01-27,2021-01-28,SNPS,trailing_stop: close=254.53 <= stop=259.52,exit_signal,STOP_TRAIL
2021-02-03,2021-02-04,EA,trailing_stop: close=140.82 <= stop=141.76,exit_signal,STOP_TRAIL
2021-02-10,2021-02-11,TTWO,trailing_stop: close=199.82 <= stop=200.89,exit_signal,STOP_TRAIL
2021-02-16,2021-02-17,CSCO,trailing_stop: close=46.51 <= stop=47.15,exit_signal,STOP_TRAIL
2021-02-16,2021-02-17,GILD,trailing_stop: close=64.80 <= stop=65.00,exit_signal,STOP_TRAIL
2021-02-22,2021-02-23,MSFT,trailing_stop: close=234.51 <= stop=235.59,exit_signal,STOP_TRAIL
2021-02-22,2021-02-23,PYPL,trailing_stop: close=273.85 <= stop=283.46,exit_signal,STOP_TRAIL
2021-03-04,2021-03-05,FTNT,trailing_stop: close=163.93 <= stop=164.17,exit_signal,STOP_TRAIL
2021-03-23,2021-03-24,ROST,trailing_stop: close=116.68 <= stop=117.02,exit_signal,STOP_TRAIL
2021-03-24,2021-03-25,SBUX,trailing_stop: close=104.97 <= stop=106.21,exit_signal,STOP_TRAIL
2021-04-28,2021-04-29,KDP,trailing_stop: close=35.21 <= stop=35.27,exit_signal,STOP_TRAIL
2021-04-28,2021-04-29,CSCO,trailing_stop: close=51.11 <= stop=51.15,exit_signal,STOP_TRAIL
2021-04-29,2021-04-30,ORLY,take_profit: close=547.17 >= target=547.01,exit_signal,TAKE_PROFIT
2021-05-04,2021-05-05,ASML,trailing_stop: close=629.00 <= stop=634.80,exit_signal,STOP_TRAIL
2021-05-05,2021-05-06,MNST,trailing_stop: close=94.45 <= stop=95.45,exit_signal,STOP_TRAIL
2021-05-12,2021-05-13,CSX,trailing_stop: close=99.64 <= stop=99.77,exit_signal,STOP_TRAIL
2021-05-12,2021-05-13,XEL,trailing_stop: close=70.17 <= stop=70.21,exit_signal,STOP_TRAIL
2021-05-12,2021-05-13,FTNT,trailing_stop: close=197.03 <= stop=200.59,exit_signal,STOP_TRAIL
2021-05-18,2021-05-19,TMUS,trailing_stop: close=135.00 <= stop=135.23,exit_signal,STOP_TRAIL
2021-05-19,2021-05-20,CHTR,trailing_stop: close=679.65 <= stop=680.14,exit_signal,STOP_TRAIL
2021-06-08,2021-06-09,BIIB,overbought: RSI=88.9 >= 85.0,exit_signal,OVERBOUGHT
2021-06-17,2021-06-18,CINF,trailing_stop: close=116.74 <= stop=119.67,exit_signal,STOP_TRAIL
2021-06-18,2021-06-21,MDLZ,trailing_stop: close=62.14 <= stop=62.56,exit_signal,STOP_TRAIL
2021-06-18,2021-06-21,ADP,trailing_stop: close=192.90 <= stop=193.95,exit_signal,STOP_TRAIL
2021-07-14,2021-07-15,CTAS,trailing_stop: close=378.95 <= stop=380.64,exit_signal,STOP_TRAIL
2021-07-19,2021-07-20,PAYX,trailing_stop: close=109.41 <= stop=109.57,exit_signal,STOP_TRAIL
2021-07-19,2021-07-20,ALGN,trailing_stop: close=595.56 <= stop=607.43,exit_signal,STOP_TRAIL
2021-07-20,2021-07-21,COST,take_profit: close=416.24 >= target=415.61,exit_signal,TAKE_PROFIT
2021-07-23,2021-07-26,ORLY,take_profit: close=620.92 >= target=612.61,exit_signal,TAKE_PROFIT
2021-08-04,2021-08-05,PEP,trailing_stop: close=154.05 <= stop=154.24,exit_signal,STOP_TRAIL
2021-08-05,2021-08-06,DDOG,overbought: RSI=86.9 >= 85.0,exit_signal,OVERBOUGHT
2021-08-10,2021-08-11,IDXX,trailing_stop: close=671.53 <= stop=678.18,exit_signal,STOP_TRAIL
2021-08-17,2021-08-18,LULU,trailing_stop: close=392.48 <= stop=397.79,exit_signal,STOP_TRAIL
2021-08-18,2021-08-19,QCOM,trailing_stop: close=142.18 <= stop=144.13,exit_signal,STOP_TRAIL
2021-08-18,2021-08-19,ADP,trailing_stop: close=208.47 <= stop=211.48,exit_signal,STOP_TRAIL
2021-08-27,2021-08-30,ZS,take_profit: close=273.73 >= target=270.09,exit_signal,TAKE_PROFIT
2021-08-27,2021-08-30,ASML,take_profit: close=832.92 >= target=824.76,exit_signal,TAKE_PROFIT
2021-08-27,2021-08-30,SNPS,take_profit: close=331.81 >= target=328.56,exit_signal,TAKE_PROFIT
2021-08-30,2021-08-31,REGN,take_profit: close=677.08 >= target=668.19,exit_signal,TAKE_PROFIT
2021-09-07,2021-09-08,FAST,trailing_stop: close=54.01 <= stop=54.63,exit_signal,STOP_TRAIL
2021-09-10,2021-09-13,CSCO,trailing_stop: close=57.89 <= stop=57.94,exit_signal,STOP_TRAIL
2021-09-14,2021-09-15,MNST,trailing_stop: close=94.96 <= stop=95.16,exit_signal,STOP_TRAIL
2021-09-17,2021-09-20,CTAS,trailing_stop: close=392.86 <= stop=395.04,exit_signal,STOP_TRAIL
2021-09-20,2021-09-21,MSFT,trailing_stop: close=294.30 <= stop=296.86,exit_signal,STOP_TRAIL
2021-09-21,2021-09-22,EXC,trailing_stop: close=49.02 <= stop=49.40,exit_signal,STOP_TRAIL
2021-09-21,2021-09-22,AVGO,trailing_stop: close=490.99 <= stop=492.04,exit_signal,STOP_TRAIL
2021-09-28,2021-09-29,INTU,trailing_stop: close=545.01 <= stop=557.49,exit_signal,STOP_TRAIL
2021-09-28,2021-09-29,DDOG,trailing_stop: close=137.40 <= stop=139.41,exit_signal,STOP_TRAIL
2021-09-28,2021-09-29,KLAC,trailing_stop: close=347.03 <= stop=353.25,exit_signal,STOP_TRAIL
2021-09-28,2021-09-29,COST,trailing_stop: close=447.35 <= stop=453.68,exit_signal,STOP_TRAIL
2021-09-29,2021-09-30,LULU,trailing_stop: close=410.22 <= stop=411.14,exit_signal,STOP_TRAIL
2021-10-18,2021-10-19,TSLA,take_profit: close=870.11 >= target=856.33,exit_signal,TAKE_PROFIT
2021-11-05,2021-11-08,NFLX,trailing_stop: close=645.72 <= stop=658.03,exit_signal,STOP_TRAIL
2021-11-10,2021-11-11,FANG,trailing_stop: close=107.16 <= stop=107.27,exit_signal,STOP_TRAIL
2021-11-11,2021-11-12,ANSS,trailing_stop: close=385.41 <= stop=391.15,exit_signal,STOP_TRAIL
2021-11-11,2021-11-12,MAR,trailing_stop: close=156.87 <= stop=160.01,exit_signal,STOP_TRAIL
2021-11-19,2021-11-22,WDAY,trailing_stop: close=286.60 <= stop=287.55,exit_signal,STOP_TRAIL
2021-11-22,2021-11-23,ABNB,trailing_stop: close=181.73 <= stop=192.29,exit_signal,STOP_TRAIL
2021-11-23,2021-11-24,DXCM,trailing_stop: close=590.00 <= stop=614.48,exit_signal,STOP_TRAIL
2021-11-26,2021-11-29,CTSH,trailing_stop: close=78.40 <= stop=79.25,exit_signal,STOP_TRAIL
2021-11-26,2021-11-29,ADP,trailing_stop: close=229.62 <= stop=231.38,exit_signal,STOP_TRAIL
2021-11-26,2021-11-29,ADI,trailing_stop: close=178.00 <= stop=181.94,exit_signal,STOP_TRAIL
2021-11-30,2021-12-01,CSX,trailing_stop: close=34.66 <= stop=35.29,exit_signal,STOP_TRAIL
2021-12-01,2021-12-02,VRSK,trailing_stop: close=219.64 <= stop=222.28,exit_signal,STOP_TRAIL
2021-12-01,2021-12-02,FTNT,trailing_stop: close=305.26 <= stop=327.24,exit_signal,STOP_TRAIL
2021-12-01,2021-12-02,LULU,trailing_stop: close=448.43 <= stop=454.14,exit_signal,STOP_TRAIL
2021-12-17,2021-12-20,ODFL,trailing_stop: close=340.62 <= stop=343.09,exit_signal,STOP_TRAIL
2021-12-20,2021-12-21,FAST,trailing_stop: close=61.32 <= stop=61.77,exit_signal,STOP_TRAIL
2022-01-05,2022-01-06,PAYX,trailing_stop: close=131.69 <= stop=131.88,exit_signal,STOP_TRAIL
2022-01-06,2022-01-07,AVGO,trailing_stop: close=637.03 <= stop=640.49,exit_signal,STOP_TRAIL
2022-01-07,2022-01-10,ON,trailing_stop: close=64.56 <= stop=65.76,exit_signal,STOP_TRAIL
2022-01-07,2022-01-10,COST,trailing_stop: close=536.18 <= stop=543.43,exit_signal,STOP_TRAIL
2022-01-07,2022-01-10,CTSH,trailing_stop: close=87.42 <= stop=88.17,exit_signal,STOP_TRAIL
2022-01-18,2022-01-19,GILD,trailing_stop: close=70.43 <= stop=71.25,exit_signal,STOP_TRAIL
2022-01-19,2022-01-20,LRCX,trailing_stop: close=642.73 <= stop=679.58,exit_signal,STOP_TRAIL
2023-02-17,2023-02-21,MAR,trailing_stop: close=172.52 <= stop=172.94,exit_signal,STOP_TRAIL
2023-02-17,2023-02-21,SNPS,trailing_stop: close=354.45 <= stop=356.91,exit_signal,STOP_TRAIL
2023-02-21,2023-02-22,TXN,trailing_stop: close=170.76 <= stop=174.80,exit_signal,STOP_TRAIL
2023-02-22,2023-02-23,CDW,trailing_stop: close=203.99 <= stop=205.45,exit_signal,STOP_TRAIL
2023-02-28,2023-03-01,CINF,trailing_stop: close=120.70 <= stop=120.89,exit_signal,STOP_TRAIL
2023-04-12,2023-04-13,WDAY,trailing_stop: close=191.74 <= stop=195.72,exit_signal,STOP_TRAIL
2023-04-20,2023-04-21,REGN,trailing_stop: close=798.10 <= stop=799.90,exit_signal,STOP_TRAIL
2023-04-25,2023-04-26,CDNS,trailing_stop: close=203.90 <= stop=208.26,exit_signal,STOP_TRAIL
2023-04-26,2023-04-27,TTWO,trailing_stop: close=121.60 <= stop=122.76,exit_signal,STOP_TRAIL
2023-05-01,2023-05-02,COST,trailing_stop: close=493.59 <= stop=494.60,exit_signal,STOP_TRAIL
2023-05-01,2023-05-02,AMZN,trailing_stop: close=102.05 <= stop=103.09,exit_signal,STOP_TRAIL
2023-05-02,2023-05-03,AVGO,trailing_stop: close=612.34 <= stop=615.69,exit_signal,STOP_TRAIL
2023-05-03,2023-05-04,SBUX,trailing_stop: close=103.96 <= stop=111.10,exit_signal,STOP_TRAIL
2023-05-18,2023-05-19,PEP,trailing_stop: close=191.56 <= stop=191.99,exit_signal,STOP_TRAIL
2023-05-22,2023-05-23,ORLY,trailing_stop: close=928.14 <= stop=935.42,exit_signal,STOP_TRAIL
2023-05-23,2023-05-24,ISRG,trailing_stop: close=301.44 <= stop=303.53,exit_signal,STOP_TRAIL
