date,equity,benchmark
2020-03-02,1063752.3656635075,1365512.0196857844
2020-03-03,1063752.3656635075,1321723.7680610763
2020-03-04,1063752.3656635075,1376869.2031042967
2020-03-05,1063752.3656635075,1335036.9108461102
2020-03-06,1063752.3656635075,1312511.8303993943
2020-03-09,1063752.3656635075,1221338.8857341157
2020-03-10,1063752.3656635075,1287841.5041958485
2020-03-11,1063752.3656635075,1231749.6372010852
2020-03-12,1063752.3656635075,1118808.7576503248
2020-03-13,1063752.3656635075,1213578.1437314656
2020-03-16,1063752.3656635075,1068206.1959745095
2020-03-17,1063752.3656635075,1149220.771026563
2020-03-18,1063752.3656635075,1114265.88428292
2020-03-19,1063752.3656635075,1120954.003407155
2020-03-20,1063752.3656635075,1077039.5608555742
2020-03-23,1063752.3656635075,1075525.2697331063
2020-03-24,1063752.3656635075,1158811.2814688622
2020-03-25,1063752.3656635075,1150230.298441542
2020-03-26,1063752.3656635075,1210801.9433402736
2020-03-27,1063752.3656635075,1169158.9374723956
2020-03-30,1063752.3656635075,1211685.27982838
2020-03-31,1063752.3656635075,1201337.623824847
2020-04-01,1063752.3656635075,1150293.3939049782
2020-04-02,1063752.3656635075,1173638.7153763643
2020-04-03,1063752.3656635075,1156981.513029213
2020-04-06,1063752.3656635075,1239699.6655940434
2020-04-07,1063752.3656635075,1239194.9018865542
2020-04-08,1063752.3656635075,1265505.7101394408
2020-04-09,1063752.3656635075,1267335.4785790902
2020-04-13,1063752.3656635075,1281027.194144741
2020-04-14,1063752.3656635075,1336740.488358887
2020-04-15,1063752.3656635075,1321408.2907438956
2020-04-16,1063752.3656635075,1345510.7577765158
2020-04-17,1063752.3656635075,1358382.2323174963
2020-04-20,1063752.3656635075,1342292.8891412707
2020-04-21,1063752.3656635075,1292762.95034387
2020-04-22,1063752.3656635075,1331124.992113067
2020-04-23,1063752.3656635075,1328285.696258439
2020-04-24,1063752.3656635075,1349233.3901192504
2020-04-27,1063752.3656635075,1360085.809830273
2020-04-28,1063752.3656635075,1334469.0516751844
2020-04-29,1063752.3656635075,1381790.6492523185
2020-04-30,1063752.3656635075,1381222.7900813932
2020-05-01,1063752.3656635075,1342292.8891412707
2020-05-04,1063752.3656635075,1357940.564073443
2020-05-05,1063752.3656635075,1373335.8571518708
2020-05-06,1063752.3656635075,1381790.6492523185
2020-05-07,1063752.3656635075,1399583.5699413212
2020-05-08,1063752.3656635075,1418764.5908259198
2020-05-11,1063752.3656635075,1431446.7789765915
2020-05-12,1063752.3656635075,1401476.4338444066
2020-05-13,1063752.3656635075,1383935.8950091486
2020-05-14,1063752.3656635075,1399646.6654047575
2020-05-15,1069659.5850201074,1408732.4121395673
2020-05-18,1073293.5850201074,1434980.1249290174
2020-05-19,1065143.1034457074,1431383.6835131554
2020-05-20,1071073.1034457074,1459965.9284497444
2020-05-21,1064001.1034457074,1444065.8716638272
2020-05-22,1066733.1034457074,1449050.4132752854
2020-05-26,1068185.1034457074,1445138.4945422423
2020-05-27,1078521.1034457074,1453025.4274717646
2020-05-28,1076519.6440457075,1451132.5635686794
2020-05-29,1092451.6440457075,1472395.7347466715
2020-06-01,1083730.3098755076,1476812.4171872041
2020-06-02,1098086.3098755076,1486718.4049466841
2020-06-03,1098186.3098755076,1493406.524070919
2020-06-04,1083853.3098755076,1482932.6771405137
2020-06-05,1101148.3098755076,1512335.163101773
2020-06-08,1118299.4518489076,1524070.9193009024
2020-06-09,1106368.4518489076,1535112.6254022336
2020-06-10,1118406.4518489076,1553536.5007255976
2020-06-11,1055813.4518489076,1476560.0353334595
2020-06-12,1081064.5985294075,1488295.7915325887
2020-06-15,1078464.5985294075,1506404.189538772
2020-06-16,1083629.5985294075,1532273.3295476055
2020-06-17,1084539.5985294075,1537131.6802321912
2020-06-18,1088024.5985294075,1541295.980818979
2020-06-19,1091799.5985294075,1541043.5989652344
2020-06-22,1098287.4583356075,1556817.464824279
2020-06-23,1100790.4583356075,1570067.5121458767
2020-06-24,1092011.4583356075,1537699.539403117
2020-06-25,1100776.4583356075,1552337.6869203104
2020-06-26,1083747.4583356075,1515679.2226638903
2020-06-29,1083176.9883946076,1532210.2340841691
2020-06-30,1091321.9883946076,1562243.6746797904
2020-07-01,1103482.9883946076,1580478.2636128464
2020-07-02,1102662.9883946076,1591204.4923969966
2020-07-06,1111139.9883946076,1630323.6797274274
2020-07-07,1107945.9883946076,1619092.6872357877
2020-07-08,1116140.9883946076,1640418.9538772162
2020-07-09,1120464.7714606076,1654236.8603697394
2020-07-10,1124219.7714606076,1665530.9483248156
2020-07-13,1103829.7714606076,1631270.1116789703
2020-07-14,1108569.8700626076,1642816.581487791
2020-07-15,1107573.8700626076,1646160.6410499082
2020-07-16,1106229.8700626076,1634929.6485582686
2020-07-17,1108167.8700626076,1636822.512461354
2020-07-20,1120467.800433108,1683260.7735503814
2020-07-21,1124672.8004331077,1665720.234715124
2020-07-22,1128750.8004331077,1671588.1128146886
2020-07-23,1120899.8004331077,1627926.0521168525
2020-07-24,1115394.4378499077,1612467.6635749887
2020-07-27,1131502.437849908,1641239.1949018866
2020-07-28,1118393.437849908,1620354.596504511
2020-07-29,1127268.4378499077,1639030.85368162
2020-07-30,1128149.4378499077,1647611.8367089406
2020-07-31,1137131.4378499077,1677014.3226702001
2020-08-03,1145611.4378499077,1699665.594043788
2020-08-04,1152964.4378499077,1705975.1403874059
2020-08-05,1173036.4378499077,1710202.5364376302
2020-08-06,1170657.4378499077,1732853.807811218
2020-08-07,1159063.8883460078,1712852.5459019498
2020-08-10,1156366.8853975078,1705533.4721433527
2020-08-11,1142112.8853975078,1673228.594864029
2020-08-12,1150504.0970986078,1715313.2689759608
2020-08-13,1146012.866482108,1719225.1877090037
2020-08-14,1144588.866482108,1717206.132879046
2020-08-17,1145690.2101776078,1737144.2993248785
2020-08-18,1139951.2101776078,1753864.597135466
2020-08-19,1135001.2101776078,1742065.7454729006
2020-08-20,1129957.2101776078,1766231.307968957
2020-08-21,1124691.2101776078,1778471.8278755757
2020-08-24,1133107.3981008078,1789576.629440343
2020-08-25,1135977.3981008078,1803646.917786611
2020-08-26,1135304.557386808,1842135.15048268
2020-08-27,1134936.0469286079,1836393.463309988
2020-08-28,1143764.535728208,1845731.5918985421
2020-08-31,1144829.662730708,1860559.0258060445
2020-09-01,1157244.110230708,1892359.1393778787
2020-09-02,1181405.110230708,1910278.2509937536
2020-09-03,1136717.8696007081,1813426.7146192188
2020-09-04,1134264.699779208,1789261.152123162
2020-09-08,1110576.4249213082,1703262.0354596504
2020-09-09,1123970.5935229082,1753296.7379645403
2020-09-10,1121137.768392108,1718341.851220897
2020-09-11,1119019.7683921081,1706416.8086314593
2020-09-14,1131066.768392108,1736134.7719098998
2020-09-15,1141631.768392108,1760742.0026500095
2020-09-16,1136284.768392108,1732664.5214209098
2020-09-17,1134211.768392108,1705596.567606789
2020-09-18,1126465.7683921081,1683828.6327213072
2020-09-21,1114042.768392108,1687866.7423812225
2020-09-22,1118142.750540208,1719225.1877090037
2020-09-23,1105874.750540208,1666729.7621301028
2020-09-24,1102958.951381808,1674490.5041327528
2020-09-25,1102958.951381808,1713420.405072875
2020-09-28,1102958.951381808,1749006.24645088
2020-09-29,1102958.951381808,1741119.3135213577
2020-09-30,1102958.951381808,1753044.3561107954
2020-10-01,1102958.951381808,1780869.4554861505
2020-10-02,1102958.951381808,1730771.6575178246
2020-10-05,1102958.951381808,1767682.5036279892
2020-10-06,1102958.951381808,1736134.7719098998
2020-10-07,1102958.951381808,1766168.212505521
2020-10-08,1102958.951381808,1775569.4365575116
2020-10-09,1102958.951381808,1802700.4858350682
2020-10-12,1102958.951381808,1858350.684585778
2020-10-13,1102958.951381808,1858287.5891223417
2020-10-14,1102958.951381808,1842766.105117042
2020-10-15,1102958.951381808,1830399.394283551
2020-10-16,1102958.951381808,1820367.2155971983
2020-10-19,1102958.951381808,1790649.2523187583
2020-10-20,1102958.951381808,1794498.0755883653
2020-10-21,1102958.951381808,1793109.975392769
2020-10-22,1102014.6788092079,1793046.879929333
2020-10-23,1102770.715985208,1796580.225881759
2020-10-26,1092615.7159852078,1769638.4629945108
2020-10-27,1086291.7159852078,1783456.369487034
2020-10-28,1073631.715985208,1713925.1687803646
2020-10-29,1076019.2980159079,1743895.5139125497
2020-10-30,1075743.2980159079,1699665.594043788
2020-11-02,1079943.2980159079,1703451.321849959
2020-11-03,1085967.2980159079,1732916.9032746544
2020-11-04,1083687.298015908,1810271.94144741
2020-11-05,1080371.5553526082,1857467.3480976715
2020-11-06,1088035.5553526082,1858855.4482932677
2020-11-09,1093359.5553526082,1820871.9793046876
2020-11-10,1073130.5553526082,1788251.6247081833
2020-11-11,1082242.271138208,1828254.1485267207
2020-11-12,1074333.271138208,1819673.1654994003
2020-11-13,1083883.271138208,1835636.3177487538
2020-11-16,1093868.271138208,1849958.9879487664
2020-11-17,1089595.271138208,1844091.1098492017
2020-11-18,1083295.271138208,1830462.4897469871
2020-11-19,1081367.271138208,1844785.1599469997
2020-11-20,1076617.2677672082,1832166.0672597638
2020-11-23,1071940.2677672082,1832229.1627232
2020-11-24,1079410.940582008,1857972.1118051612
2020-11-25,1079482.0946048081,1869392.3906871092
2020-11-27,1077592.0946048081,1886617.4522051862
2020-11-30,1074760.0946048081,1890466.2754747933
2020-12-01,1078440.600517808,1914694.9334342857
2020-12-02,1062189.2118720082,1917155.656508297
2020-12-03,1060080.2118720082,1919868.7614360526
2020-12-04,1069094.3816535082,1927692.5989021386
2020-12-07,1069289.3816535082,1938608.1140765978
2020-12-08,1068293.3816535082,1945170.0422739605
2020-12-09,1065472.3816535082,1901129.4087955076
2020-12-10,1050015.3816535082,1908763.9598712851
