screen_date,rank,symbol,score
2020-12-10,1,EXPE,0.0
2020-12-16,1,PAYX,0.0
2020-12-17,1,CTSH,0.0
2020-12-18,1,ALGN,2.6636845200463792
2020-12-18,2,IDXX,0.4685746171525861
2020-12-18,3,ROST,0.42452331175164604
2020-12-18,4,ADP,0.10170620194167032
2020-12-18,5,PAYX,-0.023344888257806055
2020-12-18,6,ISRG,-0.05364819038765056
2020-12-18,7,INTU,-0.2212064853665348
2020-12-18,8,MNST,-0.27418982775458606
2020-12-18,9,KHC,-0.5476975073049926
2020-12-18,10,CSCO,-0.8146936836664376
2020-12-18,11,PEP,-0.8151574416797585
2020-12-18,12,ADBE,-0.9085506264745143
2020-12-31,1,MU,0.7071067811865476
2020-12-31,2,NFLX,-0.7071067811865476
2021-01-04,1,ASML,0.0
2021-01-06,1,AMAT,0.7071067811865475
2021-01-06,2,DLTR,-0.7071067811865475
2021-01-07,1,MNST,0.0
2021-01-08,1,MNST,0.0
2021-01-12,1,FTNT,0.0
2021-01-19,1,TXN,0.0
2021-01-20,1,SNPS,0.7071067811865475
2021-01-20,2,INTU,-0.7071067811865475
2021-01-21,1,PYPL,0.0
2021-01-26,1,MSFT,0.0
2021-01-27,1,CSCO,0.04374599799058654
2021-01-27,2,MSFT,0.026302649920205368
2021-01-27,3,EA,-0.07004864791079211
2021-02-02,1,GOOGL,0.7071067811865476
2021-02-02,2,AMZN,-0.7071067811865476
2021-02-03,1,PYPL,0.0
2021-02-04,1,FTNT,0.0
2021-02-05,1,GILD,0.0
2021-02-08,1,TTWO,0.0
2021-02-26,1,SBUX,0.0
2021-03-09,1,ROST,0.0
2021-03-16,1,SBUX,0.0
2021-03-19,1,KDP,0.7071067811865475
2021-03-19,2,ORLY,-0.7071067811865475
2021-03-22,1,CSX,0.0
2021-03-25,1,CSCO,0.0
2021-04-16,1,BKNG,1.2493993609287277
2021-04-16,2,ORLY,-0.047557723974021235
2021-04-16,3,MNST,-0.10000180161775371
2021-04-16,4,XEL,-1.1018398353369527
2021-04-21,1,ASML,0.7071067811865475
2021-04-21,2,CSX,-0.7071067811865475
2021-04-26,1,AMZN,0.0
2021-04-28,1,GOOG,0.6094829545277631
2021-04-28,2,GOOGL,0.5446098899853327
2021-04-28,3,MDLZ,-1.1540928445130958
2021-04-29,1,CINF,0.9290603721523993
2021-04-29,2,ORLY,0.08859468545526085
2021-04-29,3,AMZN,-1.0176550576076602
2021-04-30,1,CINF,1.14609709792368
2021-04-30,2,CHTR,-0.4890875577590035
2021-04-30,3,AMZN,-0.6570095401646765
2021-05-04,1,FTNT,0.0
2021-05-05,1,TMUS,0.0
2021-05-06,1,TMUS,0.0
2021-05-07,1,CTAS,0.0
2021-05-10,1,CTAS,0.0
2021-05-27,1,COST,0.0
2021-05-27,2,ADP,0.0
2021-06-04,1,BIIB,0.0
2021-06-10,1,PAYX,0.0
2021-06-16,1,AMZN,0.0
2021-06-18,1,AMZN,0.0
2021-06-22,1,CTAS,0.0
2021-06-23,1,CTAS,0.0
2021-06-24,1,ALGN,0.0
2021-06-25,1,ORLY,0.41580070846184924
2021-06-25,2,REGN,0.1033094651491745
2021-06-25,3,PAYX,-0.519110173611024
2021-06-28,1,PAYX,0.0
2021-07-06,1,ZS,0.0
2021-07-12,1,FAST,0.7071067811865475
2021-07-12,2,AVGO,-0.7071067811865475
2021-07-13,1,PEP,0.0
2021-07-14,1,QCOM,0.0
2021-07-20,1,IDXX,0.7071067811865475
2021-07-20,2,LULU,-0.7071067811865475
2021-07-21,1,ASML,0.7071067811865475
2021-07-21,2,TXN,-0.7071067811865475
2021-07-23,1,GOOGL,0.0
2021-07-27,1,ADP,0.0
2021-07-30,1,CHTR,0.0
2021-08-03,1,DDOG,5.551115123125783e-17
