date,equity,benchmark
2024-09-09,858757.0238815013,888004.8569840143
2024-09-10,855152.8866580012,888784.4107055003
2024-09-11,852473.8866580012,886107.5628391776
2024-09-12,851343.9668772012,882309.9152947995
2024-09-13,852969.9668772012,878631.0224557639
2024-09-18,865096.9668772012,881902.4781909904
2024-09-19,869558.9668772012,888862.5607574937
2024-09-20,869150.9668772012,890257.024674558
2024-09-23,873207.9668772012,893514.8528206468
2024-09-24,913851.9668772012,932213.0342605935
2024-09-25,937653.6204458013,946014.1665741936
2024-09-26,964353.2245389014,986003.3534993841
2024-09-27,986412.0648817013,1030046.8872500554
2024-09-30,1050631.1582638014,1117421.9827474724
2024-10-08,1093063.7570728012,1183680.1554768863
2024-10-09,1029534.3330356014,1100214.787491653
2024-10-10,1073267.8406884014,1111841.067824511
2024-10-11,1060099.8432403016,1081075.8119470573
2024-10-14,1084716.1284218016,1101704.9226467449
2024-10-15,1059041.8723320016,1072406.4403430035
2024-10-16,1067821.8723320016,1065618.7884962012
2024-10-17,1054534.8723320016,1053557.8158812586
2024-10-18,1071199.9768436013,1091662.7800226219
2024-10-21,1061299.8102428014,1094433.630442588
2024-10-22,1072241.8102428014,1100713.1678944011
2024-10-23,1065611.8102428014,1105005.3022446306
2024-10-24,1064635.8102428014,1092663.7125390787
2024-10-25,1065606.8102428014,1100336.3233376357
2024-10-28,1064774.8102428014,1102487.8137369994
2024-10-29,1053703.8102428014,1091500.0832951623
2024-10-30,1046567.5748212015,1081710.4682411817
2024-10-31,1041221.3289879014,1082152.9477170592
2024-11-01,1041578.7903188015,1081869.2713717448
2024-11-04,1061257.7903188015,1097093.791465069
2024-11-05,1076519.7903188015,1124852.6343103203
2024-11-06,1071853.7903188015,1119209.6999510797
2024-11-07,1087552.7903188015,1152976.0846935196
2024-11-08,1085114.7903188015,1141393.1901546507
2024-11-11,1098743.7903188015,1148925.6314649354
2024-11-12,1098396.7903188015,1136302.5903265812
2024-11-13,1106489.7903188015,1143296.3246948326
2024-11-14,1084349.7903188015,1123474.857237098
