date,n_positions,market_value,cash
2019-07-24,0,-2144.208185688709,974655.7872312727
2019-07-25,0,-4398.001965038129,974655.7872312727
2019-07-26,0,-2205.7124001783086,974655.7872312727
2019-07-29,0,-286.20558041264303,974655.7872312727
2019-07-30,0,-1364.6701912587741,974655.7872312727
2019-07-31,0,2534.4691811602097,974655.7872312727
2019-08-01,0,0.0,978641.2242798741
2019-08-02,0,0.0,978641.2242798741
2019-08-05,0,0.0,978641.2242798741
2019-08-06,0,0.0,978641.2242798741
2019-08-07,0,0.0,978641.2242798741
2019-08-08,0,0.0,978641.2242798741
2019-08-09,0,0.0,978641.2242798741
2019-08-12,0,0.0,978641.2242798741
2019-08-13,0,0.0,978641.2242798741
2019-08-14,0,0.0,978641.2242798741
2019-08-15,0,0.0,978641.2242798741
2019-08-16,0,0.0,978641.2242798741
2019-08-19,0,0.0,978641.2242798741
2019-08-20,0,0.0,978641.2242798741
2019-08-21,0,0.0,978641.2242798741
2019-08-22,0,0.0,978641.2242798741
2019-08-23,0,0.0,978641.2242798741
2019-08-26,0,0.0,978641.2242798741
2019-08-27,0,0.0,978641.2242798741
2019-08-28,0,0.0,978641.2242798741
2019-08-29,0,0.0,978641.2242798741
2019-08-30,0,0.0,978641.2242798741
2019-09-02,0,0.0,978641.2242798741
2019-09-03,0,0.0,978641.2242798741
2019-09-04,0,0.0,978641.2242798741
2019-09-05,0,0.0,978641.2242798741
2019-09-06,0,0.0,978641.2242798741
2019-09-09,0,0.0,978641.2242798741
2019-09-10,0,0.0,978641.2242798741
2019-09-11,0,0.0,978641.2242798741
2019-09-12,0,0.0,978641.2242798741
2019-09-13,0,0.0,978641.2242798741
2019-09-16,0,0.0,978641.2242798741
2019-09-17,0,0.0,978641.2242798741
2019-09-18,0,0.0,978641.2242798741
2019-09-19,0,0.0,978641.2242798741
2019-09-20,0,0.0,978641.2242798741
2019-09-23,0,0.0,978641.2242798741
2019-09-24,0,0.0,978641.2242798741
2019-09-25,0,0.0,978641.2242798741
2019-09-26,0,0.0,978641.2242798741
2019-09-27,0,0.0,978641.2242798741
2019-09-30,0,0.0,978641.2242798741
2019-10-02,0,0.0,978641.2242798741
2019-10-03,0,0.0,978641.2242798741
2019-10-04,0,0.0,978641.2242798741
2019-10-08,0,0.0,978641.2242798741
2019-10-09,0,0.0,978641.2242798741
2019-10-10,0,0.0,978641.2242798741
2019-10-11,0,0.0,978641.2242798741
2019-10-14,0,0.0,978641.2242798741
2019-10-15,0,0.0,978641.2242798741
2019-10-16,0,0.0,978641.2242798741
2019-10-17,0,0.0,978641.2242798741
2019-10-18,0,0.0,978641.2242798741
2019-10-21,0,0.0,978641.2242798741
2019-10-22,0,0.0,978641.2242798741
2019-10-23,0,0.0,978641.2242798741
2019-10-24,0,0.0,978641.2242798741
2019-10-25,0,0.0,978641.2242798741
2019-10-28,0,0.0,978641.2242798741
2019-10-29,0,0.0,978641.2242798741
2019-10-30,0,0.0,978641.2242798741
2019-10-31,0,0.0,978641.2242798741
2019-11-01,0,0.0,978641.2242798741
2019-11-04,0,0.0,978641.2242798741
2019-11-05,0,0.0,978641.2242798741
2019-11-06,0,501.1358763902681,978641.2242798741
2019-11-07,0,-1462.566418077913,978641.2242798741
2019-11-08,1,198866.6311397861,778581.4243398742
2019-11-11,1,201576.35700469266,778581.4243398742
2019-11-12,1,194400.0,784235.0338057207
2019-11-13,1,191400.0,784235.0338057207
2019-11-14,0,0.0,974596.4418457208
2019-11-15,0,0.0,974596.4418457208
2019-11-18,0,0.0,974596.4418457208
2019-11-19,0,0.0,974596.4418457208
2019-11-20,0,0.0,974596.4418457208
2019-11-21,0,0.0,974596.4418457208
2019-11-22,0,0.0,974596.4418457208
2019-11-25,0,0.0,974596.4418457208
2019-11-26,0,0.0,974596.4418457208
2019-11-27,0,0.0,974596.4418457208
2019-11-28,0,0.0,974596.4418457208
2019-11-29,0,0.0,974596.4418457208
2019-12-02,0,0.0,974596.4418457208
2019-12-03,0,0.0,974596.4418457208
2019-12-04,0,0.0,974596.4418457208
2019-12-05,0,0.0,974596.4418457208
2019-12-06,0,0.0,974596.4418457208
2019-12-09,0,0.0,974596.4418457208
2019-12-10,0,0.0,974596.4418457208
2019-12-11,0,0.0,974596.4418457208
2019-12-12,0,0.0,974596.4418457208
2019-12-13,0,0.0,974596.4418457208
2019-12-16,3,596868.0,375571.5412716209
2019-12-17,3,605378.0100294658,375571.5412716209
2019-12-18,3,609752.6577136902,375571.5412716209
2019-12-19,4,810900.9723377889,175553.7959442209
2019-12-20,4,813653.8722385836,175553.7959442209
2019-12-23,4,812656.7864171686,175553.7959442209
2019-12-24,4,814148.7613840254,175553.7959442209
2019-12-27,4,815927.0983325725,175553.7959442209
2019-12-30,4,812632.098508368,175553.7959442209
2019-12-31,4,811029.854872938,175553.7959442209
2020-01-02,4,819154.034342519,175553.7959442209
2020-01-03,4,817691.2198674374,175553.7959442209
2020-01-06,5,972460.8521296604,9341.951345420937
2020-01-07,5,970873.9495973656,9341.951345420937
2020-01-08,6,968061.449207036,630.6387354209382
2020-01-09,4,577942.5889546559,398683.52639642096
2020-01-10,4,575562.9619422564,398683.52639642096
2020-01-13,4,580047.211243402,398683.52639642096
2020-01-14,6,956282.9896745657,13395.186560020986
2020-01-15,6,950570.3517310183,13395.186560020986
2020-01-16,5,743799.1932695272,218828.868139121
2020-01-17,5,751129.6652479209,218828.868139121
2020-01-20,5,738667.0776711258,218828.868139121
2020-01-21,6,923570.7026624864,11603.504979121062
2020-01-22,3,550886.9473802581,388909.1941066211
2020-01-23,3,550626.7557106472,388909.1941066211
2020-01-24,3,551935.034452514,388909.1941066211
2020-01-29,2,370102.0889071212,561311.978746621
2020-01-30,1,173073.65574292606,759754.767316621
2020-01-31,0,0.0,938130.1665570901
2020-02-03,0,0.0,938130.1665570901
2020-02-04,0,0.0,938130.1665570901
2020-02-05,0,0.0,938130.1665570901
2020-02-06,0,0.0,938130.1665570901
2020-02-07,0,0.0,938130.1665570901
2020-02-10,0,999.1644442790421,938130.1665570901
2020-02-11,0,-3019.378307248582,938130.1665570901
2020-02-12,0,-5441.025787240476,938130.1665570901
2020-02-13,0,-4616.177494021016,938130.1665570901
2020-02-14,0,-5238.892986940453,938130.1665570901
2020-02-17,0,-8171.026299151126,938130.1665570901
2020-02-18,0,-3797.725185042713,938130.1665570901
2020-02-19,0,-6601.851592092891,938130.1665570901
2020-02-20,0,-6771.4485092246905,938130.1665570901
2020-02-21,0,-3254.9733934351243,938130.1665570901
2020-02-24,0,2819.631511624204,938130.1665570901
2020-02-25,0,2068.8130287810927,938130.1665570901
2020-02-26,0,4328.048800604185,938130.1665570901
2020-02-27,0,1881.512739712838,938130.1665570901
2020-02-28,0,10330.684984653257,938130.1665570901
2020-03-02,0,0.0,943255.4391711996
2020-03-03,0,0.0,943255.4391711996
2020-03-04,0,-1148.0994760791073,943255.4391711996
2020-03-05,0,-7253.284016667167,943255.4391711996
2020-03-06,0,-157.4666289408924,943255.4391711996
2020-03-09,0,13514.510314072133,943255.4391711996
